# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.6
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
616,1,1,1,8,3,1,1,1
617,1,1,12,1,4,14,11,229
618,13,3,1,1,21,1,1,20
619,1,1,1,3,15,3,1,1
620,1,1,1,7,3,4,44,3
621,1,4,17,1,1,8,3,18
622,3,1,3,1,1,1,3,12
623,1,5,6,1,5,1,4,40
624,1,3,1,641,52,1,3,1
625,1,1,1,1,22,1,1,1
626,3,1,3,126,5,3,1,4
627,1,1,1,3,3,1,97,1
628,1,1,7,7,1,1,6,66
629,1,1,1,19,4,4,4,1
630,34,1,1,1,5,1,1,1
631,1,3,49,1,1,1,1,19
632,1,1,70,28,8,1,77,4
633,1,1,3,1,3,4,6,11
634,21,1,47,3,5,1,1,22
635,1,1,12,7,1,1,1,1
636,13,1,1,185,7,1,1,1
637,1,1,34,4,1,1,1,8
638,1,1,1,1,1,1,22,16
639,1,1,1,1,1,4,6,44
640,8,16,5,1,1,1,1,33
641,1,1,7,1,1,1,32,110
642,5,1,22,1,22,10,5,1
643,4,1,63,1,1,4,1,12
644,1,3,7,1,7,4,19,1
645,1,6,21,1,1,1,3,1
646,1,8,9,1,3,30,12,11
647,3,1,1,38,1,1,1,23
648,5,5,3,1,5,1,1,4
649,1,1,5,1,1,1,412,1
650,21,23,4,7,5,1,76,3
651,11,1,15,192,5,3,3,13
652,1,1,3,3,1,1,5,20
653,6,1,17,18,12,1,14,1
654,3,7,1,1,1,4,4,3
655,1,20,3,1,760,276,14,1
656,1,1,1,1,8,1,14,1
657,9,1,1,1,24,1,10,17
658,1,1,1,11,1,1,19,1
659,9,1,6,1,5,1,21,1
660,1,1,159,1,1,1,1,31
661,1,1,1,12,1,5,43,1
662,1,1,1,1,1,1,38,27
663,3,3,39,1,1,1,1,6
664,1,1,5,1,1,8,7,15
665,1,4,39,28,14,1,1,30
666,1,1,6,1,1,1,5,1
667,3,1,1,1,1,1,1,4
668,1,1,1,1,1,1,1,12
669,1,1,1,15,5,8,3,1
670,1,1,21,1,3,1,4,18
671,1,1,7,1,1,1,84,10
672,1,1,1,1,1,1,19,1
673,1,1,1,1,1,1,1,1
674,1,1,28,4,16,1,3,1
675,27,1,1,1,1,1,3,32
676,28,1,1,1,23,1,1,3
677,1,1,3,1,4,1,3,5
678,5,1,5,3,1,1,10,1
679,1,24,27,1,1,4,4,1
680,1,1,9,7,1,1,9,65
681,1,1,1,1,1,1,14,1
682,1,1,1,1,4,81,1,1
683,1,3,11,1,46,1,28,6
684,15,1,48,13,1,1,647,1
685,9,3,7,1,6,1,28,1
686,1,1,64,1,1,1,1,1
687,1,1,1,1,1,1,4,5
688,3,6,8,1,1,1,18,4
689,1,1,3,1,1,1,34,1
690,1,1,7,1,1,1,132,376
691,1,1,10,1,18,25,1,1
692,4,4,1,1,22,1,7,1
693,1,1,1,1,1,1,42,4
694,1,1,1,1,14,1,21,1
695,4,1,1,1,1,1,6,1
696,4,1,1,1,1,1,3,1
697,3,3,1,1,1,1,1,1
698,1,3,1,1,4,1,71,1
699,7,1,1,4,6,5,1,1
700,31,1,3,1,6,1,1,12
701,1,1,20,15,1,1,4,8
702,1,4,4,1,29,14,18,1
703,3,1,81,28,1,1,18,1
704,1,1,3,1,1,1,7,30
705,14,1,5,1,3,1,3,3
706,1,1,19,1,8,1,66,43
707,3,1,27,1,1,19,18,23
708,4,1,11,1,1,5,3,4
709,1,1,8,1,1,3,6,1
710,3,1,7,1,109,1,1,4
711,1,1,1,1,1,1,1,12
712,1,1,25,1,1,1,1,1
713,1,1,4,1,1,1,1,871
714,16,7,1,5,13,1,61,3
715,1,3,4,1,1,6,23,15
716,1,3,7,3,1,1,1,1
717,4,1,3,4,1,1,44,1
718,4,3,31,9,1,1,3,1
719,8,1,15,5,1,1,25,1
720,1,1,43,26,131,1,1,11
721,1,1,5,3,4,4,1,21
722,1,5,1,1,18,1,4,19
723,1,1,1,1,182,4,4,539
724,1,1,1,40,9,1,29,4
725,1,1,1,1,110,1,1,1
726,1,23,3,1,18,1,5,4
727,1,1,8,1,22,5,1,1
728,1,1,5,6,14,6,6,1
729,3,1,1,1,136,1,1,9
730,1,1,1,1,1,1,5,1
731,3,3,3,75,1,1,1,1
732,3,1,1,1,1,19,3,1
733,1,1,1,4,4,1,7,678
734,1,3,4,6,1,1,26,19
735,1,1,4,1,31,1,1,8
736,9,1,3,1,15,1,10,5
737,1,12,47,1,1,1,1,1
738,1,11,4,15,26,1,4,1
739,1,1,26,1,4,1,3,38
740,11,1,14,1,1,3,71,1
741,1,1,8,1,20,1,4,7
742,6,1,104,4,3,1,1,116
743,3,1,1,1,1,1,4,157
744,1,1,1,1,1,1,1,1
745,8,1,1,1,26,1,9,1
746,1,31,11,1,1,1,10,3
747,23,1,1,1,17,1,12,47
748,1,13,3,1,4,1,4,3
749,23,1,4,72,3,1,3,16
